custody_id,participant_age_group,participant_gender,participant_status,participant_type,latitude,longitude,gun_stolen,gun_type,incident_id,date_fk
346936,Adult 18+,Male,Arrested,Suspect,37.1077,-120.236,Stolen,Shotgun,196883,1365
347024,Adult 18+,Male,Arrested,Suspect,40.0001,-105.246,Stolen,Shotgun,196935,1366
347615,Adult 18+,Male,Arrested,Suspect,40.6452,-74.0779,Stolen,Shotgun,197266,1368
350943,Adult 18+,Male,Arrested,Suspect,41.0655,-81.5329,Stolen,Shotgun,199298,1379
352244,Adult 18+,Male,Arrested,Suspect,38.032,-121.328,Stolen,Shotgun,200056,1384
352953,Adult 18+,Male,Arrested,Suspect,42.5931,-114.755,Stolen,Shotgun,200483,1386
353075,Adult 18+,Male,Arrested,Suspect,35.9177,-86.8892,Stolen,Shotgun,200555,1386
355213,Adult 18+,Male,Arrested,Suspect,29.8883,-82.4137,Stolen,Shotgun,201819,1394
356406,Adult 18+,Male,Arrested,Suspect,41.5293,-81.6522,Stolen,Shotgun,202500,1397
356869,Adult 18+,Male,Arrested,Suspect,40.0426,-75.2181,Stolen,Shotgun,202797,1399
359583,Adult 18+,Male,Arrested,Suspect,40.8807,-72.9548,Stolen,Shotgun,204472,1409
362658,Adult 18+,Male,Arrested,Suspect,35.0878,-89.9164,Stolen,Shotgun,206403,1421
363350,Adult 18+,Male,Arrested,Suspect,38.9217,-97.3686,Stolen,Shotgun,206825,1424
366712,Adult 18+,Male,Arrested,Suspect,43.6566,-92.986,Stolen,Shotgun,208881,1438
369106,Adult 18+,Male,Arrested,Suspect,32.3724,-86.273,Stolen,Shotgun,210286,1445
372268,Adult 18+,Male,Arrested,Suspect,43.6107,-116.434,Stolen,Shotgun,212198,1457
375744,Adult 18+,Male,Arrested,Suspect,42.2944,-89.0967,Stolen,Shotgun,214338,1470
376082,Adult 18+,Male,Arrested,Suspect,38.2039,-81.5023,Stolen,Shotgun,214570,1472
378244,Adult 18+,Male,Arrested,Suspect,28.9111,-81.9195,Stolen,Shotgun,215854,1479
383930,Adult 18+,Male,Arrested,Suspect,36.8607,-87.4546,Stolen,Shotgun,219270,1500
384522,Adult 18+,Male,Arrested,Suspect,36.166,-86.7535,Stolen,Shotgun,219639,1503
386831,Adult 18+,Male,Arrested,Suspect,46.592,-112.035,Stolen,Shotgun,221040,1511
387363,Adult 18+,Male,Arrested,Suspect,34.7709,-92.4044,Stolen,Shotgun,221360,1513
388082,Adult 18+,Male,Arrested,Suspect,40.731,-74.2187,Stolen,Shotgun,221795,1516
